feature,top_eigenvector_loading,abs_loading
capital_gain,-0.5751958,0.5751958
marital_group_married,-0.42887428,0.42887428
race_Asian-Pac-Islander,-0.2740445,0.2740445
native_country_group_united_states,-0.21517022,0.21517022
workclass_group_private,0.17688073,0.17688073
marital_group_previously_married,0.17584303,0.17584303
marital_group_never_married,0.17261364,0.17261364
age,-0.16128846,0.16128846
occupation_group_blue_collar,0.15334666,0.15334666
occupation_group_managerial_professional,-0.1521047,0.1521047
race_Amer-Indian-Eskimo,0.14979368,0.14979368
sex_Male,0.12934521,0.12934521
sex_Female,-0.12932551,0.12932551
relationship_group_spouse,-0.12012149,0.12012149
hours_per_week,0.10876635,0.10876635
native_country_group_asia,0.1015136,0.1015136
native_country_group_other,0.10148023,0.10148023
education_group_school_before_hs,0.09458024,0.09458024
education_group_some_college,-0.093133114,0.093133114
relationship_group_other_relative,0.08515797,0.08515797
marital_group_married_absent,0.08049164,0.08049164
relationship_group_child,-0.07990054,0.07990054
workclass_group_self_employed,-0.07752754,0.07752754
occupation_group_technical_support,0.07648626,0.07648626
workclass_group_government,-0.07089114,0.07089114
race_Other,0.068319656,0.068319656
education_group_high_school,-0.0671,0.0671
education_num,0.066976346,0.066976346
education_group_bachelors,0.06624524,0.06624524
relationship_group_not_in_family,0.064586505,0.064586505
native_country_group_central_america_caribbean,0.06269701,0.06269701
occupation_group_service,-0.062358875,0.062358875
relationship_group_unmarried,0.05033124,0.05033124
race_White,0.04827046,0.04827046
capital_loss,-0.0410679,0.0410679
native_country_group_north_america,-0.036858317,0.036858317
native_country_group_europe,-0.032556053,0.032556053
workclass_group_unknown,-0.02874352,0.02874352
native_country_group_unknown,0.027793173,0.027793173
occupation_group_unknown,-0.026757888,0.026757888
occupation_group_armed_forces,0.013756269,0.013756269
native_country_group_south_america,-0.00886956,0.00886956
education_group_masters,-0.008070546,0.008070546
race_Black,0.0077320347,0.0077320347
education_group_doctorate,0.0073679853,0.0073679853
occupation_group_sales_admin,-0.002305833,0.002305833
education_group_professional_school,0.001271325,0.001271325
education_group_associate,-0.0012036709,0.0012036709
workclass_group_unpaid_or_never_worked,0.00035809778,0.00035809778
