train_size,model,rmse,training_time_seconds,inference_time_per_sample_seconds
10427,xrfm,45.252809553230364,20.307396700023673,2.3080264587894133e-06
10427,xgboost,41.82234183265193,0.18828170001506805,9.463176115708569e-07
10427,random_forest,45.22587802406953,0.2786066000116989,3.703250861871383e-06
1000,xrfm,58.87713554380639,0.03619420004542917,6.539413010995187e-07
1000,xgboost,56.45135834836041,0.06371270003728569,1.146835434412363e-06
1000,random_forest,71.64923024102342,0.051452199928462505,3.727646737484855e-06
2000,xrfm,54.58686723213515,0.18111070001032203,1.2408227885358457e-06
2000,xgboost,49.59625318588215,0.06999210000503808,1.4335443013882473e-06
2000,random_forest,57.36156951224487,0.08223390008788556,3.6842635429761145e-06
3000,xrfm,49.40564960498571,0.8247347000287846,1.5217779052601344e-06
3000,xgboost,46.49495415331378,0.08650820003822446,1.4801208123830507e-06
3000,random_forest,54.695950798179894,0.10173620004206896,3.7397583182986883e-06
4000,xrfm,49.61719672590845,1.5667956999968737,1.7096375378322444e-06
4000,xgboost,44.393378951444575,0.07931880000978708,1.3379171188980753e-06
4000,random_forest,50.75868163851472,0.1319575000088662,3.591944752646861e-06
5000,xrfm,48.873536383136326,2.6465568999992684,1.387169172824441e-06
5000,xgboost,44.83332168597858,0.082247200072743,1.4364786976058855e-06
5000,random_forest,50.495496136689866,0.15276309999171644,3.6979574143192093e-06
6000,xrfm,47.620265615235965,4.5855626000557095,1.5663118565174289e-06
6000,xgboost,43.49660434842874,0.08160989999305457,1.084205967248755e-06
6000,random_forest,47.762190068244095,0.17291500000283122,3.839067888893059e-06
7000,xrfm,47.1366396019991,6.7235905000707135,1.7637514385477275e-06
7000,xgboost,42.26746039221913,0.09391060005873442,8.590045796066386e-07
7000,random_forest,47.345038980343205,0.1937986999982968,3.682479870015856e-06
8000,xrfm,46.91242256188653,9.281043300055899,1.9428653533220018e-06
8000,xgboost,42.00921820341935,0.10571349994279444,1.0971231447689244e-06
8000,random_forest,47.01996690020202,0.21612769993953407,3.720713461565992e-06
9000,xrfm,45.72247987604812,12.734260199940763,1.8658227918474528e-06
9000,xgboost,41.398430865492955,0.11227079993113875,1.4512945902699946e-06
9000,random_forest,46.18608375469938,0.2572197000263259,3.6513233654869783e-06
